id,name,current_L1_mapping
1064,"Production Forecasting and Crude Lift Scheduling(PFCLS) - Atlantic Region","Distribution Planning & Scheduling"
1064,"Production Forecasting and Crude Lift Scheduling(PFCLS) - Atlantic Region","Production Accounting"
1521,"Production management System (China)", to connect and monitor production operations
1521,"Production management System (China)", to connect and monitor production operations
1741,"Project Management Environment","Project Management"
1296,"Prosper (Atlantic Region)", Structural Geology Software Modelling and Optimisation Tools.<p></p>Tier 1:     Atlantic Region Service Desk  Tier 2:     Jeff Ball  Tier 3:"
1269,"Q4 Web Safety","Personal Safety"
1269,"Q4 Web Safety","Control of Work"
1390,"QI Pro - Evaluation",
409,"Quantum EFM","Field Data Capture"
1549,"Quest Integrity Group Signal FFS",""
1549,"Quest Integrity Group Signal FFS",""
1396,"Quorum Execute - Well Delivery", manual tracking) with a governed
1396,"Quorum Execute - Well Delivery", manual tracking) with a governed
1726,REFPROP,"Reservoir Services Management"
1435,"RREA - Rainbow Reservoir Engineering Archive (incl. RP","Reservoir Optimization"
1435,"RREA - Rainbow Reservoir Engineering Archive (incl. RP","Production Accounting"
1436,"RREA - Rainbow Voidage Balance","Reservoir Optimization"
1436,"RREA - Rainbow Voidage Balance","Production Accounting"
945,"RainbowLake Field Simulator","Reservoir Optimization"
1422,Reservoir,"Reservoir Development"
1422,Reservoir,"Reservoir Optimization"
630,Revit, structural engineers
1752,RokDoc,"Geological Optimization"
1752,RokDoc,"Seismic Management"
357,"Roxar - RMS", leading to improved returns on investment."
357,"Roxar - RMS", leading to improved returns on investment."
181,"S&P Global - Harmony Enterprise","Reservoir Optimization"
181,"S&P Global - Harmony Enterprise","Well Testing & Analytics"
1975,"S&P Global Engineering Workbench", specifications
914,"SAP EPM Add InTool (Atlantic Region)", software specializes in budgeting
914,"SAP EPM Add InTool (Atlantic Region)", software specializes in budgeting
551,SAPSim,"Reservoir Development"
551,SAPSim,"Reservoir Optimization"
970,"SCADA - LTCHO  - Oil & Gas",ABB
970,"SCADA - LTCHO  - Oil & Gas",ABB
1510,"SCADA - LTCHO - RsLinx Oil & Gas",""
1512,"SCADA - LTCHO - RsLinx Thermal",""
1125,"SCADA - LTCHO - Sunrise", protocol
1514,"SCADA - LTCHO - Terminal Servers",""
1776,"SCADA - LTCHO - Thermal",ABB
1776,"SCADA - LTCHO - Thermal",ABB
1513,"SCADA - LTCHO - Utilities",""
1515,"SCADA -LTCHO - Historian Archive Reporting","Field Data Capture"
448,SCADA-VTScada,"Facilities Control"
448,SCADA-VTScada,"Field Data Capture"
1530,SEGYTool,"Seismic Management"
830,"SKF (Data Archive)","Maintenance & Reliability"
1588,SPAD,"Land Management"
1588,SPAD,"Bus.Development
155,"SPIES III","Geological Optimization"
1595,SPIN2,"Land Management"
1766,SROD, .pdf)
1766,SROD, .pdf)
1610,"STO Execution", shutdown
1610,"STO Execution", shutdown
926,"STREAMsim - StudioSL", reporting
926,"STREAMsim - StudioSL", reporting
1629,"SW Toolbox", temperature
208,SafetySync,
1454,"Salesforce - HOG","Customer Relationship Management"
1460,SampleManager,"Lab Services Management"
1421,"Sapviz II","Reservoir Optimization"
1829,"Saskatchewan Information Services Corporation - ISC (w",""
1516,"Scada Vantage Client - CPD","Facilities Control"
941,"Schematic Pro","Field Data Capture"
1424,"Schlumberger Eclipse (Atlantic Region)","Reservoir Development"
1720,"Schlumberger Log DataToolBox","Geological Info Management"
1385,"Schlumberger Multi Flash (Atlantic Region IS)","Reservoir Services Management"
1987,"Schlumberger OFM (Atlantic Region)","Reservoir Optimization"
1987,"Schlumberger OFM (Atlantic Region)","Well Testing & Analytics"
1717,"Schlumberger OLGA (Atlantic Region)","Reservoir Optimization"
1529,"Segy Tool", wiggle trace displays
233,"SeisInfo - Sales and Trade","Geological Info Management"
233,"SeisInfo - Sales and Trade","Seismic Management"
1532,SeisWare,"Geological Optimization"
1532,SeisWare,"Seismic Management"
1531,Seisinfo,"Geological Info Management"
1531,Seisinfo,"Seismic Management"
1278,"Seismic Data Loader SDL (Panther)", and quality checks of the loaded segy�s. It runs only on Solaris system; it does not run under Linux or windows. A benefit of using SDL is that it does convert files to its own format; the format of the files is common. It�s basically a data loader."
536,Seisware,"Geological Optimization"
536,Seisware,"Seismic Management"
1546,"Sherwin Geological Edges","Geological Info Management"
1824,"Shop Factory Inspections","Facility Construction"
1824,"Shop Factory Inspections","Business & Technical Assurance"
548,"Site Release Management","Site Preparation"
548,"Site Release Management","Control of Work"
1552,SiteView,"Site Preparation"
1552,SiteView,"Facility Construction"
1949,SizeMaster,"Facility Design"
1317,"Smart Plant Instrumentation (HLU/HLR)","Facility Design"
1050,"Smart Plant Instrumentation (Superior)", including power management
1050,"Smart Plant Instrumentation (Superior)", including power management
613,SmartProcedures,"ATR Inc. (Applied Training Resources Incorporated)"
613,SmartProcedures,"ATR Inc. (Applied Training Resources Incorporated)"
1676,"SmartProcedures Editor","Operations Management"
1676,"SmartProcedures Editor","Control of Work"
856,"Smartplant Instrumentation","Facility Design"
1584,"Solid Works","Facility Design"
1591,Spartan, ab initio models
1602,StackDX, integrates public data for verification
1602,StackDX, integrates public data for verification
1608,StarSteer,""
1608,StarSteer,""
959,"Steam Trap Management System (TrapMan)", the combined experience of TLV specialist engineers
959,"Steam Trap Management System (TrapMan)", the combined experience of TLV specialist engineers
1612,StressCheck, and tubing strings Casing
1612,StressCheck, and tubing strings Casing
834,"Sunfish HR system", with risks existing if this spreadsheet is lost.�"
834,"Sunfish HR system", with risks existing if this spreadsheet is lost.�"
762,Surfer,"Geological Development"
1921,Surfer,"Geological Development"
1628,"Survey 123", sharing and analysing surveys.  There are two parts
1628,"Survey 123", sharing and analysing surveys.  There are two parts
649,"Symantec Backup Exec",""
1660,"TGX Remote Desktop",""
1877,"TMS7 TopTech", DMZ) should be routed to the 'OT Systems and Infrastructure' email distribution list"
1877,"TMS7 TopTech", DMZ) should be routed to the 'OT Systems and Infrastructure' email distribution list"
1888,TOP,"Reservoir Optimization"
1888,TOP,"Competitor Analysis "
1564,"TabQuick (Atlantic Region)",
1864,"Tanker Scheduling - PFCLS (Atlantic Region)", owner
1864,"Tanker Scheduling - PFCLS (Atlantic Region)", owner
1757,Techlog,"Geological Info Management"
1757,Techlog,"Geological Execution"
1319,"Techlog (Atlantic Region)","Geological Execution"
1319,"Techlog (Atlantic Region)","Well Information Management"
454,"Temporary Equipment Register (Atlantic Region)","Capital Asset Management"
809,"Temporary Repairs (Atlantic Region)","Physical Maintenance"
1657,"Tesseral Pro(CVE)","Seismic Management"
1659,Textpad,
93,"Think Cell",""
1768,Tiamo, Site Services Danny Lapointe / Jason O'Driscoll FC   Lab Coordinator Joel Girard / Tanis Chaba CL   Lab Coordinator Eddie Chung / Rudy Peters"
1145,"Ticket Reconciler", and respond to changing customer needs."
1933,"Total Access Ultimate Suite",
564,"Tracer ES","Building Management"
1892,TrakPro,"Maintenance & Reliability"
1771,Trango,CGG
1771,Trango,CGG
849,"TreeTop Decision Analysis", LP"
849,"TreeTop Decision Analysis", LP"
1898,Trello, but they still need to be added to the workspace manually by the App SME"
1800,"Turnaround Management System (TMS)","Maintenance & Turn Around"
456,U-Bank(China),"Treasury Management"
1410,"UC4 v9",
1329,"UniSim Design", Tech Development and Downstream (refining)"
1329,"UniSim Design", Tech Development and Downstream (refining)"
1772,"Upstream Online",000 industry executives in over 100 countries worldwide."
1049,"User Management (Atlantic Region)","IT Service Delivery"
1966,VISTA, and ease of use
1966,VISTA, and ease of use
1948,"Value Navigator","Energy Navigator"
1948,"Value Navigator","Energy Navigator"
1950,"Vantage Point","Production Accounting"
1950,"Vantage Point","Performance Management"
422,"Vendor KPI (Atlantic Region)","Supplier Management"
124,WELLPLAN,"Well Drilling"
124,WELLPLAN,"Well Design & Planning"
397,"WR Portal (Atlantic Region)","Operations Management"
1977,WeatherLinkIP,"Environmental Management"
702,"Well Completions & Frac Database",""
702,"Well Completions & Frac Database",""
1990,WellCAD, analysis and presentation workflow for drilling
1990,WellCAD, analysis and presentation workflow for drilling
1989,"WellCAD Reader",
954,"WellSight Log Viewer",
1117,"Wellsight StarLog","Geological Info Management"
1117,"Wellsight StarLog","Geological Execution"
1992,Wellview, drilling
1992,Wellview, drilling
1992,Wellview, drilling
1104,"Wellview (Atlantic Region)","Well Information Management"
2008,"XI Web-Based Site (AssetBook LLR Analysis)", market research
2008,"XI Web-Based Site (AssetBook LLR Analysis)", market research
1777,"XTools Pro",
591,XVu,"Maintenance & Reliability"
591,XVu,"Pipeline Management & Change"
2011,YakChat,
83,"ZetaWare Genesis", salt movement in the PDE solver directly so all the effects are simulated. Some of the competitor products can only mimic the geometry change but not the processes."
1901,"ZetaWare Trinity", prospect risking toolkit designed for the petroleum geologist to quickly integrate data from seismic interpretation and any other geological data to integrate the geological history with hydrocarbon generation and migration to quantify critical parameters and charge risks for petroleum prospects or exploration blocks."
1901,"ZetaWare Trinity", prospect risking toolkit designed for the petroleum geologist to quickly integrate data from seismic interpretation and any other geological data to integrate the geological history with hydrocarbon generation and migration to quantify critical parameters and charge risks for petroleum prospects or exploration blocks."
1093,"Zetaware Kinex", vitrinite reflectance
612,assetbook,"Bus.Development
612,assetbook,"Competitor Analysis "
900,"eLog PRO","Maintenance & Reliability"
900,"eLog PRO","Regulatory Compliance"
897,ePAS,"Personal Safety"
897,ePAS,"Control of Work"
113,exSILentia,""
113,exSILentia,""
114,exSILentia,""
114,exSILentia,""
980,geoSCOUT,""
980,geoSCOUT,""
1019,"iAuditor (Atlantic Region)",""
1019,"iAuditor (Atlantic Region)",""
1878,tNavigator,"Reservoir Development"
1878,tNavigator,"Reservoir Optimization"
51,webFluids,"Reservoir Services Management"
51,webFluids,"Lab Services Management"
